XNXQ	KCH	KCM	XM
2013-2014-1	10641022	学术英语听说（2）－综述	2013000044
2013-2014-1	00340031	大分子的世界	2013000043
2013-2014-1	10430944	大学物理A(2)	2013000031
2013-2014-1	30340322	化学工程与高分子科学导论	2013000042
2013-2014-1	00690222	儒家经典导读	2013000006
2013-2014-1	30450392	生命科学前沿	2013000039
2013-2014-1	00050071	环境保护与可持续发展	2013000043
2013-2014-1	10320021	核能核技术概论及认识实习(1)	2013000049
2013-2014-1	10421055	微积分A(1)	2013000033
2013-2014-1	10421055	微积分A(1)	2013000029
2013-2014-1	10421055	微积分A(1)	2013000030
2013-2014-1	10421075	微积分B(1)	2013000043
2013-2014-1	10421075	微积分B(1)	2013000040
2013-2014-1	10421075	微积分B(1)	2013000037
2013-2014-1	10421075	微积分B(1)	2013000012
2013-2014-1	10421075	微积分B(1)	2013000014
2013-2014-1	10421094	线性代数(1)	2013000011
2013-2014-1	10421094	线性代数(1)	2013000016
2013-2014-1	10421094	线性代数(1)	2013000005
2013-2014-1	10421094	线性代数(1)	2013000002
2013-2014-1	10421094	线性代数(1)	2013000034
2013-2014-1	10421094	线性代数(1)	2013000021
2013-2014-1	10440111	大学化学实验B	2013000004
2013-2014-1	10440111	大学化学实验B	2013000001
2013-2014-1	10450034	普通生物学	2013000011
2013-2014-1	10450034	普通生物学	2013000015
2013-2014-1	10610183	思想道德修养与法律基础	2013000046
2013-2014-1	10610183	思想道德修养与法律基础	2013000010
2013-2014-1	10610183	思想道德修养与法律基础	2013000008
2013-2014-1	10610183	思想道德修养与法律基础	2013000018
2013-2014-1	10610183	思想道德修养与法律基础	2013000043
2013-2014-1	10610183	思想道德修养与法律基础	2013000035
2013-2014-1	10610183	思想道德修养与法律基础	2013000030
2013-2014-1	10610183	思想道德修养与法律基础	2013000036
2013-2014-1	10610183	思想道德修养与法律基础	2013000013
2013-2014-1	10610183	思想道德修养与法律基础	2013000050
2013-2014-1	10610183	思想道德修养与法律基础	2013000023
2013-2014-1	10610183	思想道德修养与法律基础	2013000028
2013-2014-1	10610183	思想道德修养与法律基础	2013000027
2013-2014-1	10610183	思想道德修养与法律基础	2013000022
2013-2014-1	10610183	思想道德修养与法律基础	2013000033
2013-2014-1	10610183	思想道德修养与法律基础	2013000004
2013-2014-1	10720011	体育(1)	2013000006
2013-2014-1	10720011	体育(1)	2013000037
2013-2014-1	10720011	体育(1)	2013000035
2013-2014-1	10720011	体育(1)	2013000032
2013-2014-1	10720011	体育(1)	2013000020
2013-2014-1	10720011	体育(1)	2013000038
2013-2014-1	10720011	体育(1)	2013000012
2013-2014-1	10720011	体育(1)	2013000024
2013-2014-1	20120152	工程图学基础	2013000048
2013-2014-1	20120152	工程图学基础	2013000046
2013-2014-1	20440333	有机化学B	2013000016
2013-2014-1	30210041	信息科学技术概论	2013000048
2013-2014-1	30350161	材料学概论	2013000006
2013-2014-1	30420124	高等代数与几何(1)	2013000020
2013-2014-1	30440121	化学现状与未来	2013000040
2013-2014-1	30450392	生命科学前沿	2013000014
2013-2014-1	30510833	经济学原理(1)	2013000017
2013-2014-1	40420393	离散数学	2013000031
2013-2014-1	00050071	环境保护与可持续发展	2013000050
2013-2014-1	00050071	环境保护与可持续发展	2013000028
2013-2014-1	00240151	计算基因组分析	2013000035
2013-2014-1	00420152	数学建模引论	2013000033
2013-2014-1	00420152	数学建模引论	2013000030
2013-2014-1	00430141	漫游在物理和天文的交叉领域	2013000049
2013-2014-1	00640491	英语语体与英语思维	2013000032
2013-2014-1	00641332	中级英语视听说	2013000017
2013-2014-1	00641522	澳大利亚文学	2013000041
2013-2014-1	00670143	电影文化	2013000038
2013-2014-1	00680082	审美的历程	2013000007
2013-2014-1	00680082	审美的历程	2013000029
2013-2014-1	00680082	审美的历程	2013000034
2013-2014-1	00680082	审美的历程	2013000005
2013-2014-1	00750011	图书馆概论	2013000024
2013-2014-1	00782131	艺术欣赏导论	2013000021
2013-2014-1	00804021	绘画与观看	2013000014
2013-2014-1	10421055	微积分A(1)	2013000031
2013-2014-1	10421055	微积分A(1)	2013000019
2013-2014-1	10421094	线性代数(1)	2013000013
2013-2014-1	10421094	线性代数(1)	2013000042
2013-2014-1	10421094	线性代数(1)	2013000019
2013-2014-1	10430913	力学	2013000004
2013-2014-1	10440144	化学原理	2013000004
2013-2014-1	10450012	现代生物学导论	2013000046
2013-2014-1	10450021	现代生物学导论实验	2013000030
2013-2014-1	10450042	普通生物学实验	2013000012
2013-2014-1	10450042	普通生物学实验	2013000014
2013-2014-1	10610183	思想道德修养与法律基础	2013000049
2013-2014-1	10610183	思想道德修养与法律基础	2013000026
2013-2014-1	10610183	思想道德修养与法律基础	2013000047
2013-2014-1	10610183	思想道德修养与法律基础	2013000016
2013-2014-1	10610183	思想道德修养与法律基础	2013000024
2013-2014-1	10610183	思想道德修养与法律基础	2013000006
2013-2014-1	10640982	学术英语专项技能——批判性思维	2013000049
2013-2014-1	10641012	学术英语听说（1）- 转述	2013000029
2013-2014-1	10641012	学术英语听说（1）- 转述	2013000009
2013-2014-1	10641022	学术英语听说（2）－综述	2013000036
2013-2014-1	10641022	学术英语听说（2）－综述	2013000042
2013-2014-1	10641032	学术英语听说（3）－讨论	2013000018
2013-2014-1	10641062	学术英语读写（1）－说明文	2013000006
2013-2014-1	10641062	学术英语读写（1）－说明文	2013000045
2013-2014-1	10641072	学术英语读写（2）－议论文	2013000027
2013-2014-1	10641072	学术英语读写（2）－议论文	2013000004
2013-2014-1	10641072	学术英语读写（2）－议论文	2013000033
2013-2014-1	10720011	体育(1)	2013000008
2013-2014-1	20440314	无机与分析化学	2013000041
2013-2014-1	20440333	有机化学B	2013000014
2013-2014-1	20440352	无机化学实验A(1)	2013000009
2013-2014-1	20740073	计算机程序设计基础	2013000029
2013-2014-1	20740073	计算机程序设计基础	2013000007
2013-2014-1	30210041	信息科学技术概论	2013000031
2013-2014-1	30210041	信息科学技术概论	2013000035
2013-2014-1	30230672	计算机程序设计基础（1）	2013000031
2013-2014-1	30230672	计算机程序设计基础（1）	2013000024
2013-2014-1	30240233	程序设计基础	2013000022
2013-2014-1	30240282	计算机科学导论	2013000035
2013-2014-1	30420095	高等微积分(1)	2013000010
2013-2014-1	30440121	化学现状与未来	2013000005
2013-2014-1	30440121	化学现状与未来	2013000002
2013-2014-1	30450392	生命科学前沿	2013000012
2013-2014-1	30510833	经济学原理(1)	2013000019
2013-2014-1	40021361	建筑设计基础（1）	2013000026
2013-2014-1	S1510021	实验室科研探究（1）	2013000031
2013-2014-1	S1510021	实验室科研探究（1）	2013000009
2013-2014-1	00030052	灾害及其对策	2013000046
2013-2014-1	00050071	环境保护与可持续发展	2013000013
2013-2014-1	00120052	科研思维方法	2013000034
2013-2014-1	00220072	超导体在电气工程中的应用	2013000037
2013-2014-1	00440051	磷与生命化学	2013000040
2013-2014-1	00440051	磷与生命化学	2013000002
2013-2014-1	00700822	大学与大师	2013000032
2013-2014-1	00701263	大数据时代的创新创业经济学	2013000039
2013-2014-1	01030091	大学的历史与文化	2013000041
2013-2014-1	01510142	工业文明与工程文化	2013000048
2013-2014-1	02070071	大学生心理训练与潜能开发	2013000024
2013-2014-1	02070071	大学生心理训练与潜能开发	2013000008
2013-2014-1	02070251	大学生职业生涯规划与发展	2013000024
2013-2014-1	04100041	大数据技术导论	2013000022
2013-2014-1	10421055	微积分A(1)	2013000036
2013-2014-1	10421075	微积分B(1)	2013000006
2013-2014-1	10421075	微积分B(1)	2013000001
2013-2014-1	10421094	线性代数(1)	2013000009
2013-2014-1	10430754	普通物理(1)	2013000049
2013-2014-1	10440111	大学化学实验B	2013000032
2013-2014-1	10440144	化学原理	2013000001
2013-2014-1	10450021	现代生物学导论实验	2013000047
2013-2014-1	10450034	普通生物学	2013000044
2013-2014-1	10610183	思想道德修养与法律基础	2013000029
2013-2014-1	10610183	思想道德修养与法律基础	2013000011
2013-2014-1	10641012	学术英语听说（1）- 转述	2013000005
2013-2014-1	10641022	学术英语听说（2）－综述	2013000013
2013-2014-1	10641032	学术英语听说（3）－讨论	2013000043
2013-2014-1	10641062	学术英语读写（1）－说明文	2013000001
2013-2014-1	10641062	学术英语读写（1）－说明文	2013000015
2013-2014-1	10641072	学术英语读写（2）－议论文	2013000037
2013-2014-1	10660012	法律基础	2013000036
2013-2014-1	10720011	体育(1)	2013000023
2013-2014-1	10720011	体育(1)	2013000028
2013-2014-1	10720011	体育(1)	2013000027
2013-2014-1	10720011	体育(1)	2013000039
2013-2014-1	10720011	体育(1)	2013000043
2013-2014-1	20440314	无机与分析化学	2013000043
2013-2014-1	20740042	计算机文化基础	2013000015
2013-2014-1	20740073	计算机程序设计基础	2013000001
2013-2014-1	30020623	建筑美术（1） 	2013000018
2013-2014-1	30120201	机械工程概论	2013000047
2013-2014-1	30420405	数学分析(1)	2013000045
2013-2014-1	30450392	生命科学前沿	2013000016
2013-2014-1	30470013	计算机入门	2013000034
2013-2014-1	40021361	建筑设计基础（1）	2013000018
2013-2014-1	40240513	计算机网络原理	2013000043
2013-2014-1	40430381	物理学前沿讲座(1)	2013000010
2013-2014-1	60640042	日语(第二外国语)(1)	2013000038
2013-2014-1	S1510031	实验室科研探究（2）	2013000021
2013-2014-1	10641062	学术英语读写（1）－说明文	2013000034
2013-2014-1	10420874	一元微积分	2013000017
2013-2014-1	00750011	图书馆概论	2013000032
2013-2014-1	02070251	大学生职业生涯规划与发展	2013000002
2013-2014-1	10450012	现代生物学导论	2013000050
2013-2014-1	10450012	现代生物学导论	2013000023
2013-2014-1	10450012	现代生物学导论	2013000027
2013-2014-1	10310013	程序设计基础	2013000030
2013-2014-1	10450012	现代生物学导论	2013000032
2013-2014-1	40310612	力学与现代工程	2013000032
2013-2014-1	10440012	大学化学B	2013000049
2013-2014-1	00680082	审美的历程	2013000026
2013-2014-1	20240013	离散数学(1)	2013000021
2013-2014-1	10641022	学术英语听说（2）－综述	2013000017
2013-2014-1	10641042	学术英语听说（4）－辩论	2013000012
2013-2014-1	40420393	离散数学	2013000033
2013-2014-1	30020552	外国古代建筑史纲	2013000018
2013-2014-1	30020623	建筑美术（1） 	2013000026
2013-2014-1	30450392	生命科学前沿	2013000041
2013-2014-1	30450392	生命科学前沿	2013000044
2013-2014-1	20120143	工程制图基础	2013000050
2013-2014-1	20120143	工程制图基础	2013000023
2013-2014-1	20120143	工程制图基础	2013000028
2013-2014-1	20120143	工程制图基础	2013000027
2013-2014-1	20120163	机械设计基础(1)	2013000030
2013-2014-1	20440314	无机与分析化学	2013000013
2013-2014-1	20440314	无机与分析化学	2013000011
2013-2014-1	20440333	有机化学B	2013000006
2013-2014-1	20440333	有机化学B	2013000001
2013-2014-1	10720011	体育(1)	2013000003
2013-2014-1	10720011	体育(1)	2013000049
2013-2014-1	10720011	体育(1)	2013000046
2013-2014-1	10720011	体育(1)	2013000019
2013-2014-1	10720011	体育(1)	2013000016
2013-2014-1	10610183	思想道德修养与法律基础	2013000039
2013-2014-1	10610183	思想道德修养与法律基础	2013000038
2013-2014-1	10610183	思想道德修养与法律基础	2013000005
2013-2014-1	10450042	普通生物学实验	2013000044
2013-2014-1	10440103	大学化学A	2013000032
2013-2014-1	10421094	线性代数(1)	2013000050
2013-2014-1	10421094	线性代数(1)	2013000023
